OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER09160,CUST0391,08-30-2025,Flyer,47.88
ORDER05500,CUST0336,08-03-2025,Poster,38.09
ORDER05032,CUST0216,08-26-2025,Bookmark,7.64
ORDER04270,CUST0300,08-10-2025,Mug,35.83
ORDER07710,CUST0028,08-28-2025,Photo Book,100.03
ORDER01167,CUST0242,08-29-2025,Poster,47.53
ORDER06254,CUST0272,08-10-2025,Sticker,6.35
ORDER02471,CUST0071,08-07-2025,Brochure,48.64
ORDER09330,CUST0458,08-30-2025,Mug,16.01
ORDER02955,CUST0399,08-03-2025,Mug,21.31
ORDER02898,CUST0161,08-21-2025,Canvas Print,25.45
ORDER04482,CUST0108,08-25-2025,Postcard,7.19
ORDER02596,CUST0251,08-26-2025,Postcard,15.14
ORDER02121,CUST0315,08-14-2025,Photo Book,81.53
ORDER07030,CUST0495,08-16-2025,Sticker,5.12
ORDER08746,CUST0103,08-24-2025,Brochure,86.5
ORDER05280,CUST0388,08-27-2025,T-Shirt,26.96
ORDER00068,CUST0321,08-24-2025,Poster,29.71
ORDER05642,CUST0160,08-05-2025,Business Card,18.36
ORDER09645,CUST0157,08-06-2025,Business Card,30.24
ORDER04886,CUST0486,08-10-2025,Mug,32.38
ORDER09771,CUST0269,08-11-2025,Sticker,27.2
ORDER02193,CUST0176,08-29-2025,Mug,22.06
ORDER03088,CUST0085,08-31-2025,Bookmark,14.1
ORDER06610,CUST0010,08-08-2025,Poster,62.27
ORDER02150,CUST0109,08-24-2025,Canvas Print,81.02
ORDER02769,CUST0064,08-12-2025,Greeting Card,14.76
ORDER00613,CUST0193,08-29-2025,Photo Book,60.69
ORDER08762,CUST0320,08-02-2025,Notebook,44.81
ORDER00324,CUST0025,08-23-2025,Business Card,19.25
ORDER06231,CUST0064,08-18-2025,Banner,115.9
ORDER02509,CUST0106,08-23-2025,Photo Book,105.64
ORDER04934,CUST0216,08-22-2025,Business Card,25.89
ORDER04424,CUST0319,08-20-2025,Greeting Card,7.06
ORDER01719,CUST0262,08-24-2025,Notebook,14.12
ORDER01868,CUST0402,08-04-2025,Mug,17.56
ORDER03273,CUST0399,08-09-2025,Label,22.12
ORDER03305,CUST0184,08-23-2025,Sticker,12.38
ORDER08981,CUST0255,08-30-2025,Poster,59.73
ORDER07876,CUST0170,08-08-2025,Canvas Print,26.21
ORDER01459,CUST0465,08-04-2025,Label,23.5
ORDER08096,CUST0077,08-31-2025,Business Card,29.05
ORDER04193,CUST0330,08-08-2025,Mug,39.68
ORDER04851,CUST0136,08-15-2025,Canvas Print,34.48
ORDER02863,CUST0448,08-02-2025,Label,15.85
ORDER05124,CUST0219,08-24-2025,Business Card,10.56
ORDER00752,CUST0005,08-28-2025,Flyer,36.53
ORDER02794,CUST0169,08-12-2025,Bookmark,8.81
ORDER04396,CUST0450,08-24-2025,Business Card,18.06
ORDER05616,CUST0094,08-04-2025,Sticker,15.01
ORDER07480,CUST0140,08-27-2025,Sticker,22.25
ORDER07836,CUST0410,08-14-2025,Photo Book,136.33
ORDER02733,CUST0058,08-05-2025,Greeting Card,15.9
ORDER02612,CUST0054,08-14-2025,Bookmark,10.5
ORDER09322,CUST0348,08-15-2025,Flyer,34.45
ORDER05876,CUST0314,08-01-2025,Label,26.48
ORDER02141,CUST0248,08-30-2025,Mug,15.16
ORDER06739,CUST0226,08-02-2025,Business Card,15.06
ORDER05149,CUST0007,08-23-2025,Label,26.3
ORDER09448,CUST0371,08-19-2025,Poster,78.56
ORDER05543,CUST0266,08-17-2025,Greeting Card,15.51
ORDER01561,CUST0222,08-22-2025,Greeting Card,8.73
ORDER05665,CUST0340,08-22-2025,Photo Book,76.19
ORDER09148,CUST0457,08-20-2025,Canvas Print,26.11
ORDER02572,CUST0259,08-28-2025,Mug,35.85
ORDER02710,CUST0039,08-25-2025,Mug,20.98
ORDER05422,CUST0497,08-09-2025,Canvas Print,73.16
ORDER09020,CUST0330,08-13-2025,Sticker,25.43
ORDER01292,CUST0236,08-15-2025,Postcard,12.45
ORDER01443,CUST0439,08-16-2025,Mug,20.85
ORDER08149,CUST0382,08-21-2025,Canvas Print,34.75
ORDER06756,CUST0019,08-18-2025,T-Shirt,18.01
ORDER01490,CUST0406,08-20-2025,Notebook,32.31
ORDER08329,CUST0288,08-07-2025,Photo Book,110.58
ORDER05585,CUST0187,08-27-2025,Canvas Print,102.58
ORDER07446,CUST0170,08-18-2025,Postcard,13.06
ORDER07752,CUST0367,08-22-2025,Brochure,70.11
ORDER01869,CUST0050,08-25-2025,Photo Book,56.61
ORDER05593,CUST0182,08-27-2025,Photo Book,145.73
ORDER04784,CUST0281,08-17-2025,Brochure,69.15
ORDER00751,CUST0460,08-06-2025,Mug,15.93
ORDER06705,CUST0055,08-09-2025,Notebook,16.86
ORDER01979,CUST0477,08-28-2025,Sticker,10.39
ORDER03123,CUST0367,08-11-2025,Business Card,28.44
ORDER00762,CUST0475,08-21-2025,Label,26.15
ORDER02019,CUST0396,08-29-2025,Mug,24.81
ORDER09656,CUST0490,08-17-2025,Flyer,48.55
ORDER00072,CUST0272,08-24-2025,Canvas Print,77.56
ORDER07092,CUST0430,08-19-2025,Mug,37.88
ORDER02904,CUST0355,08-19-2025,Flyer,39.22
ORDER02104,CUST0054,08-13-2025,Photo Book,102.07
ORDER05274,CUST0259,08-29-2025,Sticker,15.47
ORDER09978,CUST0469,08-23-2025,Postcard,8.23
ORDER06519,CUST0494,08-11-2025,Banner,112.46
ORDER02264,CUST0212,08-20-2025,Greeting Card,18.3
ORDER08394,CUST0154,08-27-2025,Greeting Card,13.22
ORDER05144,CUST0365,08-24-2025,Bookmark,10.09
ORDER03561,CUST0103,08-07-2025,Notebook,35.0
ORDER05658,CUST0472,08-22-2025,Flyer,49.25
ORDER02914,CUST0258,08-18-2025,Greeting Card,14.55
ORDER01891,CUST0390,08-12-2025,T-Shirt,40.58
ORDER09350,CUST0483,08-22-2025,Greeting Card,11.26
ORDER08748,CUST0147,08-29-2025,Label,19.4
ORDER00210,CUST0268,08-04-2025,Canvas Print,61.18
ORDER00870,CUST0344,08-02-2025,Poster,32.35
ORDER02637,CUST0147,08-22-2025,Banner,63.43
ORDER01017,CUST0354,08-26-2025,Banner,72.64
ORDER08867,CUST0017,08-12-2025,Label,20.22
ORDER09206,CUST0443,08-08-2025,Greeting Card,14.71
ORDER06372,CUST0122,08-17-2025,Postcard,15.36
ORDER04713,CUST0355,08-22-2025,Canvas Print,113.02
ORDER06350,CUST0214,08-31-2025,Postcard,17.69
ORDER05123,CUST0495,08-18-2025,Canvas Print,26.23
ORDER04118,CUST0104,08-20-2025,Label,29.08
ORDER03696,CUST0467,08-21-2025,Greeting Card,15.64
ORDER06026,CUST0387,08-19-2025,T-Shirt,52.71
ORDER03219,CUST0398,08-24-2025,Poster,34.12
ORDER02907,CUST0350,08-03-2025,Flyer,48.5
ORDER08419,CUST0062,08-13-2025,Canvas Print,65.71
ORDER09120,CUST0136,08-05-2025,Flyer,33.36
ORDER04179,CUST0003,08-11-2025,Mug,31.87
ORDER02537,CUST0021,08-05-2025,Bookmark,7.55
ORDER00834,CUST0397,08-30-2025,Photo Book,103.87
ORDER04935,CUST0252,08-26-2025,Notebook,29.26
ORDER01195,CUST0402,08-23-2025,Brochure,56.78
ORDER03013,CUST0267,08-03-2025,Postcard,11.57
ORDER06815,CUST0279,08-18-2025,Sticker,7.3
ORDER03625,CUST0453,08-07-2025,Photo Book,69.83
ORDER04810,CUST0112,08-31-2025,Postcard,13.04
ORDER07781,CUST0288,08-27-2025,Postcard,17.75
ORDER00145,CUST0059,08-22-2025,Brochure,51.2
