OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER01798,CUST0441,12-10-2025,Label,8.84
ORDER07074,CUST0360,12-19-2025,Sticker,20.63
ORDER06272,CUST0208,12-13-2025,Sticker,18.63
ORDER02842,CUST0244,12-05-2025,Poster,51.1
ORDER05903,CUST0431,12-14-2025,Flyer,21.54
ORDER02057,CUST0069,12-01-2025,Business Card,25.51
ORDER02360,CUST0370,12-29-2025,Mug,30.42
ORDER02225,CUST0044,12-05-2025,Photo Book,126.71
ORDER09903,CUST0477,12-14-2025,Notebook,16.29
ORDER08347,CUST0218,12-18-2025,Label,20.15
ORDER05822,CUST0116,12-06-2025,Sticker,20.11
ORDER08162,CUST0434,12-24-2025,Poster,61.29
ORDER04412,CUST0211,12-30-2025,T-Shirt,45.09
ORDER00549,CUST0020,12-19-2025,Mug,31.74
ORDER01855,CUST0298,12-16-2025,Greeting Card,6.2
ORDER04579,CUST0239,12-17-2025,Business Card,22.13
ORDER09996,CUST0046,12-08-2025,Mug,29.66
ORDER08835,CUST0409,12-19-2025,Banner,138.09
ORDER05629,CUST0274,12-25-2025,Canvas Print,69.54
ORDER08400,CUST0464,12-16-2025,Notebook,35.68
ORDER06898,CUST0181,12-31-2025,Postcard,8.83
ORDER02745,CUST0019,12-23-2025,Bookmark,10.57
ORDER04982,CUST0373,12-26-2025,Notebook,19.12
ORDER07753,CUST0297,12-06-2025,Notebook,11.81
ORDER04781,CUST0415,12-24-2025,Notebook,10.96
ORDER07943,CUST0043,12-05-2025,T-Shirt,21.61
ORDER04553,CUST0130,12-05-2025,Notebook,19.83
ORDER04210,CUST0008,12-24-2025,Business Card,24.3
ORDER09696,CUST0379,12-05-2025,Photo Book,83.6
ORDER02874,CUST0134,12-26-2025,Greeting Card,8.54
ORDER02963,CUST0410,12-17-2025,Label,8.89
ORDER01383,CUST0496,12-05-2025,Notebook,42.69
ORDER08126,CUST0386,12-14-2025,Postcard,9.98
ORDER07212,CUST0372,12-21-2025,Flyer,18.43
ORDER00891,CUST0329,12-09-2025,Postcard,15.65
ORDER00861,CUST0086,12-15-2025,Sticker,16.91
ORDER07804,CUST0383,12-31-2025,Postcard,16.99
ORDER03829,CUST0195,12-22-2025,Greeting Card,10.85
ORDER04303,CUST0075,12-17-2025,Label,19.74
ORDER06259,CUST0348,12-11-2025,T-Shirt,50.1
ORDER01596,CUST0470,12-18-2025,Photo Book,72.46
ORDER07075,CUST0313,12-30-2025,Photo Book,133.0
ORDER05489,CUST0139,12-09-2025,Postcard,6.28
ORDER06409,CUST0237,12-25-2025,Photo Book,119.89
ORDER09646,CUST0395,12-07-2025,T-Shirt,33.86
ORDER05133,CUST0281,12-01-2025,Photo Book,31.02
ORDER00196,CUST0211,12-04-2025,T-Shirt,22.88
ORDER07307,CUST0180,12-08-2025,Greeting Card,9.25
ORDER03164,CUST0018,12-01-2025,Notebook,13.22
ORDER09735,CUST0337,12-29-2025,Label,13.85
ORDER01996,CUST0363,12-31-2025,Business Card,10.33
ORDER09908,CUST0067,12-13-2025,Photo Book,121.66
ORDER09275,CUST0412,12-31-2025,Flyer,45.84
ORDER03019,CUST0130,12-10-2025,Mug,30.49
ORDER01241,CUST0328,12-15-2025,Bookmark,14.95
ORDER06996,CUST0355,12-29-2025,Photo Book,122.39
ORDER04217,CUST0083,12-25-2025,Business Card,15.49
ORDER01023,CUST0196,12-13-2025,Brochure,89.72
ORDER04231,CUST0490,12-27-2025,Banner,68.47
ORDER01138,CUST0252,12-30-2025,Poster,54.67
ORDER02924,CUST0331,12-16-2025,Business Card,11.88
ORDER07066,CUST0112,12-20-2025,Photo Book,42.75
ORDER07235,CUST0367,12-09-2025,Business Card,8.94
ORDER09361,CUST0373,12-09-2025,Postcard,10.8
ORDER08155,CUST0077,12-21-2025,Photo Book,30.1
ORDER00620,CUST0341,12-13-2025,Banner,64.26
ORDER05404,CUST0464,12-13-2025,Notebook,10.13
ORDER08040,CUST0245,12-14-2025,Sticker,26.1
ORDER01149,CUST0277,12-08-2025,Canvas Print,61.52
ORDER07899,CUST0063,12-19-2025,T-Shirt,61.95
ORDER05881,CUST0171,12-22-2025,Banner,104.1
ORDER01486,CUST0188,12-18-2025,Label,33.94
ORDER01319,CUST0431,12-15-2025,Postcard,14.96
ORDER03328,CUST0091,12-18-2025,Canvas Print,116.91
ORDER03130,CUST0154,12-23-2025,Sticker,27.41
ORDER05887,CUST0250,12-03-2025,Bookmark,10.96
ORDER03105,CUST0072,12-02-2025,Poster,16.65
ORDER09715,CUST0123,12-16-2025,Sticker,6.57
ORDER05042,CUST0256,12-18-2025,Label,29.92
ORDER00269,CUST0019,12-11-2025,Canvas Print,57.08
ORDER00702,CUST0208,12-04-2025,Poster,67.46
ORDER08571,CUST0235,12-31-2025,Photo Book,134.42
ORDER02441,CUST0380,12-19-2025,Poster,75.11
ORDER00605,CUST0377,12-05-2025,Mug,30.31
ORDER07721,CUST0465,12-30-2025,Notebook,11.6
ORDER02139,CUST0008,12-06-2025,Photo Book,35.99
ORDER05036,CUST0421,12-26-2025,Business Card,20.32
ORDER02797,CUST0428,12-19-2025,Business Card,30.08
ORDER01743,CUST0059,12-16-2025,Notebook,37.97
ORDER01034,CUST0412,12-07-2025,Sticker,13.43
ORDER06587,CUST0167,12-04-2025,Photo Book,99.12
ORDER02251,CUST0165,12-27-2025,Postcard,7.77
ORDER00747,CUST0304,12-06-2025,Brochure,24.43
ORDER04488,CUST0073,12-25-2025,Sticker,9.2
ORDER06061,CUST0284,12-06-2025,Mug,18.82
ORDER09536,CUST0021,12-05-2025,Business Card,29.36
ORDER06163,CUST0399,12-06-2025,Canvas Print,108.56
ORDER01323,CUST0004,12-01-2025,Flyer,47.05
ORDER09728,CUST0455,12-10-2025,Sticker,22.34
ORDER07799,CUST0355,12-05-2025,Poster,24.3
