OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER08005,CUST0285,02-25-2025,Poster,59.89
ORDER08042,CUST0230,02-26-2025,Canvas Print,33.84
ORDER03631,CUST0208,02-23-2025,Poster,34.9
ORDER09529,CUST0189,02-16-2025,T-Shirt,42.95
ORDER06972,CUST0382,02-18-2025,Brochure,44.63
ORDER07435,CUST0139,02-10-2025,Banner,76.89
ORDER03156,CUST0162,02-04-2025,Greeting Card,13.04
ORDER03034,CUST0099,02-07-2025,Greeting Card,12.26
ORDER09660,CUST0390,02-17-2025,Notebook,19.9
ORDER01648,CUST0427,02-07-2025,Banner,76.4
ORDER02940,CUST0155,02-01-2025,Greeting Card,13.01
ORDER04495,CUST0024,02-02-2025,T-Shirt,31.73
ORDER02069,CUST0327,02-28-2025,Postcard,11.38
ORDER00201,CUST0294,02-10-2025,Mug,25.4
ORDER05583,CUST0095,02-02-2025,Banner,190.57
ORDER07828,CUST0059,02-27-2025,Business Card,18.82
ORDER01214,CUST0296,02-21-2025,Photo Book,36.43
ORDER02445,CUST0416,02-19-2025,Banner,53.63
ORDER04067,CUST0061,02-18-2025,Postcard,10.41
ORDER09767,CUST0405,02-20-2025,Poster,65.42
ORDER06233,CUST0231,02-15-2025,Banner,177.63
ORDER07026,CUST0157,02-19-2025,Notebook,12.11
ORDER01626,CUST0486,02-25-2025,Poster,55.66
ORDER04336,CUST0339,02-03-2025,Flyer,19.59
ORDER09044,CUST0039,02-06-2025,Canvas Print,63.81
ORDER09730,CUST0241,02-10-2025,Canvas Print,46.99
ORDER04633,CUST0360,02-28-2025,Mug,13.99
ORDER03825,CUST0474,02-09-2025,Postcard,15.29
ORDER09664,CUST0339,02-26-2025,Bookmark,6.18
ORDER01881,CUST0279,02-08-2025,Photo Book,47.88
ORDER04353,CUST0424,02-05-2025,Business Card,9.61
ORDER05040,CUST0305,02-24-2025,Label,23.37
ORDER04729,CUST0225,02-04-2025,Mug,31.28
ORDER06595,CUST0483,02-09-2025,T-Shirt,43.38
ORDER07173,CUST0042,02-20-2025,Canvas Print,109.5
ORDER05281,CUST0310,02-09-2025,Canvas Print,33.68
ORDER09425,CUST0301,02-01-2025,Postcard,13.74
ORDER04416,CUST0296,02-02-2025,Postcard,14.83
ORDER07709,CUST0266,02-21-2025,Mug,37.65
ORDER02974,CUST0300,02-14-2025,Photo Book,127.71
ORDER01495,CUST0241,02-12-2025,Sticker,13.33
ORDER01714,CUST0440,02-06-2025,Brochure,48.82
ORDER08118,CUST0148,02-22-2025,Sticker,25.34
ORDER09013,CUST0019,02-15-2025,Business Card,16.49
ORDER05297,CUST0060,02-25-2025,Sticker,26.62
ORDER00019,CUST0337,02-28-2025,T-Shirt,39.71
ORDER00889,CUST0097,02-17-2025,Brochure,63.58
ORDER08168,CUST0321,02-15-2025,Postcard,5.67
ORDER04376,CUST0282,02-05-2025,Bookmark,7.17
ORDER07942,CUST0063,02-01-2025,Photo Book,103.06
ORDER03921,CUST0364,02-06-2025,Banner,128.13
ORDER09049,CUST0209,02-03-2025,Poster,79.5
ORDER01859,CUST0237,02-04-2025,Photo Book,129.86
ORDER08166,CUST0478,02-23-2025,Banner,121.42
ORDER04480,CUST0213,02-27-2025,Mug,39.45
ORDER03994,CUST0234,02-18-2025,Flyer,25.34
ORDER09821,CUST0261,02-24-2025,Bookmark,5.5
ORDER01144,CUST0142,02-25-2025,Postcard,16.11
ORDER05569,CUST0479,02-26-2025,T-Shirt,30.56
ORDER00043,CUST0145,02-24-2025,Banner,174.0
ORDER09502,CUST0338,02-16-2025,Label,12.01
ORDER08825,CUST0248,02-12-2025,Brochure,58.63
ORDER08904,CUST0194,02-15-2025,Bookmark,7.54
ORDER03091,CUST0358,02-08-2025,Notebook,23.4
ORDER06731,CUST0023,02-11-2025,Greeting Card,12.09
ORDER06247,CUST0198,02-22-2025,Postcard,15.67
ORDER02493,CUST0254,02-02-2025,Flyer,30.09
ORDER09670,CUST0170,02-28-2025,Business Card,31.6
ORDER07214,CUST0052,02-17-2025,Bookmark,9.03
ORDER02362,CUST0210,02-28-2025,Photo Book,146.39
ORDER01226,CUST0241,02-26-2025,Banner,94.17
ORDER06513,CUST0333,02-03-2025,Label,16.87
ORDER08743,CUST0195,02-11-2025,Photo Book,116.25
ORDER07995,CUST0447,02-18-2025,Canvas Print,83.66
ORDER03847,CUST0324,02-22-2025,Bookmark,7.16
ORDER03728,CUST0383,02-03-2025,Sticker,29.46
ORDER01647,CUST0228,02-06-2025,Greeting Card,9.49
ORDER00475,CUST0024,02-11-2025,Postcard,5.73
ORDER05874,CUST0192,02-14-2025,Flyer,19.77
ORDER06752,CUST0290,02-22-2025,Postcard,7.34
ORDER02869,CUST0041,02-20-2025,Label,18.33
ORDER03946,CUST0255,02-19-2025,Flyer,19.29
ORDER04162,CUST0236,02-09-2025,Photo Book,31.13
ORDER07623,CUST0462,02-10-2025,Photo Book,95.59
ORDER01211,CUST0227,02-12-2025,Notebook,20.47
ORDER06952,CUST0354,02-09-2025,Mug,35.67
ORDER03264,CUST0197,02-28-2025,Mug,14.99
ORDER06249,CUST0293,02-12-2025,Notebook,20.36
ORDER04838,CUST0012,02-27-2025,Photo Book,77.5
ORDER00133,CUST0290,02-28-2025,Photo Book,123.4
ORDER00804,CUST0467,02-20-2025,Greeting Card,12.45
ORDER04690,CUST0398,02-26-2025,Poster,54.46
ORDER05773,CUST0113,02-21-2025,Poster,55.36
ORDER02241,CUST0322,02-04-2025,Bookmark,10.9
ORDER00646,CUST0159,02-26-2025,Mug,12.93
ORDER02154,CUST0047,02-10-2025,Brochure,72.32
ORDER02878,CUST0103,02-05-2025,Postcard,12.01
ORDER05995,CUST0272,02-17-2025,Bookmark,7.0
ORDER02696,CUST0132,02-27-2025,Mug,39.09
ORDER04836,CUST0383,02-28-2025,Brochure,76.3
ORDER07674,CUST0494,02-03-2025,Flyer,40.17
ORDER03697,CUST0441,02-22-2025,Greeting Card,15.12
ORDER06512,CUST0496,02-28-2025,Postcard,12.25
ORDER01480,CUST0405,02-13-2025,Canvas Print,50.12
ORDER02025,CUST0233,02-12-2025,Photo Book,119.88
ORDER04296,CUST0300,02-13-2025,Label,25.24
ORDER06087,CUST0056,02-22-2025,Poster,45.65
ORDER09199,CUST0168,02-20-2025,Poster,57.1
ORDER07607,CUST0466,02-23-2025,Banner,143.88
ORDER01912,CUST0072,02-02-2025,Canvas Print,53.91
ORDER08072,CUST0060,02-04-2025,Poster,72.67
ORDER02223,CUST0199,02-15-2025,Brochure,66.93
ORDER08851,CUST0215,02-19-2025,Greeting Card,15.9
ORDER06798,CUST0336,02-04-2025,Label,21.21
ORDER06687,CUST0481,02-09-2025,Canvas Print,90.58
ORDER03560,CUST0228,02-15-2025,Poster,70.6
ORDER01628,CUST0352,02-12-2025,T-Shirt,60.38
ORDER05877,CUST0032,02-13-2025,Banner,70.37
ORDER02002,CUST0486,02-28-2025,Label,20.28
ORDER09784,CUST0498,02-01-2025,Canvas Print,99.75
ORDER03991,CUST0065,02-26-2025,Notebook,17.18
ORDER09081,CUST0107,02-19-2025,Poster,67.85
ORDER03818,CUST0169,02-25-2025,Flyer,41.55
ORDER09765,CUST0002,02-09-2025,Label,34.57
ORDER02130,CUST0277,02-09-2025,Postcard,7.27
ORDER00423,CUST0068,02-01-2025,Brochure,75.3
ORDER03899,CUST0302,02-11-2025,Canvas Print,41.55
ORDER00859,CUST0065,02-24-2025,Sticker,18.15
ORDER01042,CUST0244,02-15-2025,Postcard,9.71
ORDER09727,CUST0056,02-15-2025,T-Shirt,28.41
ORDER00711,CUST0373,02-26-2025,Bookmark,13.54
ORDER08544,CUST0155,02-15-2025,Photo Book,145.68
ORDER00997,CUST0246,02-28-2025,Sticker,15.66
ORDER01769,CUST0252,02-23-2025,Bookmark,8.88
ORDER01324,CUST0165,02-20-2025,Flyer,12.63
ORDER04506,CUST0320,02-21-2025,Notebook,29.19
ORDER05328,CUST0196,02-20-2025,T-Shirt,31.86
ORDER08283,CUST0310,02-14-2025,Business Card,29.41
ORDER01875,CUST0437,02-21-2025,Photo Book,135.32
ORDER09034,CUST0370,02-28-2025,Poster,42.95
ORDER03744,CUST0212,02-11-2025,Label,20.24
ORDER06816,CUST0374,02-04-2025,Brochure,49.87
ORDER04177,CUST0192,02-05-2025,Photo Book,140.76
ORDER01100,CUST0047,02-27-2025,Business Card,10.52
ORDER01583,CUST0382,02-24-2025,Brochure,76.82
ORDER09116,CUST0031,02-19-2025,T-Shirt,44.4
ORDER02003,CUST0211,02-12-2025,Label,25.96
ORDER06930,CUST0445,02-24-2025,Canvas Print,117.0
ORDER09838,CUST0160,02-12-2025,Business Card,23.6
ORDER03486,CUST0080,02-22-2025,Mug,18.28
