OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER01825,CUST0013,01-24-2025,Banner,79.18
ORDER02287,CUST0378,01-04-2025,Photo Book,118.88
ORDER08936,CUST0045,01-19-2025,Sticker,5.79
ORDER01536,CUST0112,01-08-2025,T-Shirt,46.29
ORDER09196,CUST0102,01-23-2025,Photo Book,114.16
ORDER06874,CUST0113,01-15-2025,Notebook,19.74
ORDER00107,CUST0389,01-26-2025,Flyer,37.93
ORDER05575,CUST0143,01-05-2025,Poster,77.22
ORDER05515,CUST0053,01-03-2025,Sticker,7.42
ORDER05636,CUST0310,01-09-2025,Postcard,5.56
ORDER07528,CUST0275,01-04-2025,Bookmark,8.16
ORDER09045,CUST0151,01-27-2025,Photo Book,104.22
ORDER05926,CUST0296,01-07-2025,Greeting Card,6.04
ORDER03734,CUST0396,01-10-2025,Business Card,31.09
ORDER01655,CUST0195,01-09-2025,Mug,29.8
ORDER05978,CUST0084,01-12-2025,Brochure,34.67
ORDER04375,CUST0360,01-30-2025,Photo Book,107.76
ORDER09981,CUST0326,01-06-2025,T-Shirt,52.27
ORDER02678,CUST0237,01-13-2025,Banner,198.32
ORDER09126,CUST0113,01-22-2025,Brochure,79.0
ORDER00917,CUST0118,01-27-2025,Canvas Print,101.48
ORDER06573,CUST0138,01-03-2025,Poster,74.35
ORDER09293,CUST0449,01-23-2025,Brochure,34.88
ORDER08180,CUST0203,01-29-2025,Bookmark,11.07
ORDER02341,CUST0136,01-05-2025,Poster,63.42
ORDER08831,CUST0135,01-24-2025,Notebook,25.0
ORDER09561,CUST0205,01-12-2025,Poster,79.83
ORDER02267,CUST0261,01-16-2025,Business Card,28.41
ORDER01797,CUST0079,01-21-2025,Flyer,41.68
ORDER06917,CUST0306,01-03-2025,Sticker,14.54
ORDER07669,CUST0271,01-09-2025,T-Shirt,58.46
ORDER00189,CUST0349,01-24-2025,Business Card,26.41
ORDER08798,CUST0385,01-09-2025,Postcard,13.33
ORDER01828,CUST0151,01-14-2025,Flyer,28.15
ORDER04316,CUST0498,01-17-2025,Postcard,7.32
ORDER01744,CUST0446,01-21-2025,Banner,174.67
ORDER08318,CUST0312,01-07-2025,Flyer,24.96
ORDER02647,CUST0277,01-31-2025,Postcard,16.99
ORDER00010,CUST0307,01-11-2025,Mug,12.55
ORDER05948,CUST0450,01-27-2025,Postcard,9.0
ORDER00950,CUST0124,01-29-2025,Notebook,43.14
ORDER01404,CUST0375,01-16-2025,Label,9.87
ORDER08728,CUST0393,01-05-2025,Flyer,36.39
ORDER09008,CUST0085,01-09-2025,T-Shirt,59.0
ORDER06933,CUST0494,01-07-2025,Bookmark,9.93
ORDER03296,CUST0366,01-10-2025,Sticker,29.88
ORDER06119,CUST0225,01-29-2025,T-Shirt,39.22
ORDER04062,CUST0116,01-03-2025,Brochure,21.47
ORDER09076,CUST0118,01-19-2025,Poster,15.47
ORDER00965,CUST0118,01-03-2025,Bookmark,4.35
ORDER05414,CUST0037,01-17-2025,Poster,33.1
ORDER07954,CUST0110,01-18-2025,Flyer,38.93
ORDER09356,CUST0296,01-16-2025,Poster,66.0
ORDER06670,CUST0098,01-04-2025,Business Card,25.79
ORDER05805,CUST0217,01-14-2025,Mug,36.19
ORDER00888,CUST0345,01-21-2025,Photo Book,41.81
ORDER06597,CUST0373,01-11-2025,Postcard,16.2
ORDER04074,CUST0099,01-07-2025,T-Shirt,39.08
ORDER06913,CUST0094,01-09-2025,Mug,18.99
ORDER01236,CUST0227,01-26-2025,Label,31.11
ORDER01605,CUST0026,01-21-2025,T-Shirt,57.29
ORDER01529,CUST0475,01-25-2025,Label,14.38
ORDER06659,CUST0249,01-16-2025,Poster,71.2
ORDER00961,CUST0085,01-13-2025,Canvas Print,118.6
ORDER04346,CUST0475,01-26-2025,Postcard,10.92
ORDER06931,CUST0357,01-31-2025,Greeting Card,19.93
ORDER09106,CUST0339,01-23-2025,Mug,16.33
ORDER04862,CUST0112,01-31-2025,Canvas Print,80.02
ORDER08884,CUST0032,01-24-2025,Brochure,24.0
ORDER09572,CUST0245,01-17-2025,Bookmark,13.38
ORDER02580,CUST0030,01-31-2025,T-Shirt,21.77
ORDER03045,CUST0036,01-20-2025,Business Card,26.23
ORDER03854,CUST0207,01-04-2025,Bookmark,10.27
ORDER09486,CUST0305,01-02-2025,Notebook,12.87
ORDER09563,CUST0290,01-17-2025,Brochure,85.43
ORDER03347,CUST0343,01-23-2025,Brochure,36.71
ORDER06485,CUST0068,01-22-2025,Photo Book,66.0
ORDER05181,CUST0476,01-25-2025,Bookmark,4.8
ORDER07509,CUST0319,01-19-2025,Business Card,9.98
ORDER03493,CUST0260,01-09-2025,Flyer,47.33
ORDER01128,CUST0451,01-08-2025,Brochure,39.95
ORDER07180,CUST0427,01-18-2025,Greeting Card,9.54
ORDER08667,CUST0005,01-22-2025,Label,22.97
ORDER01698,CUST0481,01-29-2025,Flyer,20.58
ORDER01754,CUST0381,01-18-2025,Flyer,20.89
ORDER09910,CUST0108,01-23-2025,Brochure,34.25
ORDER04326,CUST0259,01-16-2025,Banner,184.85
ORDER00833,CUST0048,01-21-2025,Sticker,25.73
ORDER00723,CUST0002,01-11-2025,Postcard,6.7
ORDER04292,CUST0083,01-24-2025,Mug,27.45
ORDER07008,CUST0288,01-01-2025,Business Card,10.03
ORDER02443,CUST0280,01-02-2025,Label,17.97
ORDER09053,CUST0076,01-14-2025,Flyer,11.67
ORDER05975,CUST0461,01-30-2025,Postcard,17.64
ORDER00654,CUST0461,01-12-2025,Poster,59.33
ORDER01685,CUST0182,01-25-2025,T-Shirt,59.55
ORDER02533,CUST0474,01-30-2025,Poster,71.2
ORDER02901,CUST0452,01-14-2025,Canvas Print,42.04
ORDER05443,CUST0401,01-30-2025,Sticker,25.06
ORDER04066,CUST0137,01-06-2025,Postcard,14.12
ORDER06268,CUST0447,01-02-2025,Label,20.71
ORDER03270,CUST0419,01-30-2025,Mug,21.79
ORDER03729,CUST0115,01-01-2025,Photo Book,53.18
ORDER05379,CUST0143,01-28-2025,Business Card,34.11
ORDER04574,CUST0180,01-21-2025,T-Shirt,36.78
ORDER08786,CUST0170,01-31-2025,Canvas Print,35.96
ORDER04280,CUST0092,01-19-2025,Banner,46.12
ORDER09775,CUST0223,01-12-2025,Greeting Card,16.8
ORDER07150,CUST0311,01-17-2025,Business Card,18.4
ORDER09447,CUST0098,01-09-2025,Canvas Print,92.33
ORDER00028,CUST0267,01-30-2025,Postcard,12.0
ORDER03229,CUST0187,01-14-2025,Business Card,33.62
ORDER05410,CUST0320,01-11-2025,Photo Book,131.76
ORDER04921,CUST0260,01-10-2025,Photo Book,79.01
ORDER06593,CUST0357,01-10-2025,T-Shirt,23.98
ORDER06889,CUST0341,01-31-2025,Sticker,21.93
ORDER02852,CUST0316,01-19-2025,Banner,104.97
ORDER00007,CUST0156,01-10-2025,Poster,42.94
ORDER09503,CUST0311,01-21-2025,Brochure,52.55
ORDER07245,CUST0346,01-07-2025,T-Shirt,40.24
ORDER02781,CUST0338,01-03-2025,Banner,122.47
ORDER05492,CUST0048,01-27-2025,Postcard,8.05
ORDER05086,CUST0116,01-26-2025,Poster,24.58
ORDER00758,CUST0126,01-16-2025,Notebook,39.74
ORDER01194,CUST0234,01-14-2025,Bookmark,10.93
ORDER03186,CUST0368,01-23-2025,Sticker,17.36
ORDER03998,CUST0076,01-21-2025,Greeting Card,5.08
ORDER01747,CUST0399,01-14-2025,Poster,26.43
ORDER08487,CUST0238,01-02-2025,T-Shirt,29.71
ORDER01989,CUST0234,01-05-2025,Postcard,11.04
ORDER08703,CUST0287,01-20-2025,Brochure,86.5
ORDER07252,CUST0314,01-27-2025,Greeting Card,18.38
ORDER06992,CUST0426,01-30-2025,T-Shirt,38.96
ORDER02608,CUST0381,01-28-2025,Mug,24.6
ORDER04051,CUST0431,01-21-2025,Banner,162.53
ORDER08541,CUST0249,01-21-2025,Poster,32.85
ORDER01270,CUST0366,01-10-2025,Poster,32.66
ORDER05239,CUST0458,01-18-2025,Business Card,11.74
ORDER03789,CUST0197,01-23-2025,Flyer,38.26
ORDER01053,CUST0213,01-14-2025,Brochure,57.98
ORDER06813,CUST0032,01-07-2025,Label,19.34
ORDER09570,CUST0485,01-23-2025,Canvas Print,106.39
ORDER09433,CUST0195,01-16-2025,Canvas Print,114.56
ORDER04893,CUST0386,01-13-2025,Label,32.07
ORDER06866,CUST0276,01-24-2025,Greeting Card,13.19
ORDER09884,CUST0460,01-08-2025,Mug,18.14
ORDER07141,CUST0249,01-01-2025,Sticker,13.4
ORDER06625,CUST0371,01-06-2025,Label,20.62
ORDER02092,CUST0319,01-18-2025,Canvas Print,111.16
ORDER09698,CUST0289,01-22-2025,Canvas Print,32.98
ORDER07023,CUST0070,01-28-2025,Mug,17.09
ORDER04263,CUST0195,01-11-2025,Poster,44.56
ORDER05530,CUST0390,01-29-2025,Sticker,11.96
ORDER06907,CUST0130,01-27-2025,Business Card,20.7
ORDER08838,CUST0027,01-31-2025,Brochure,35.7
ORDER01125,CUST0400,01-31-2025,Photo Book,34.83
ORDER00509,CUST0487,01-08-2025,Poster,69.55
ORDER02497,CUST0123,01-05-2025,Mug,30.74
ORDER09241,CUST0486,01-07-2025,Mug,31.59
ORDER06044,CUST0086,01-20-2025,Notebook,43.73
ORDER01877,CUST0399,01-27-2025,Flyer,48.59
ORDER01772,CUST0297,01-01-2025,Bookmark,7.43
ORDER06150,CUST0204,01-31-2025,Greeting Card,7.97
ORDER09701,CUST0354,01-27-2025,Photo Book,59.14
ORDER04942,CUST0436,01-22-2025,Notebook,38.19
ORDER09273,CUST0401,01-02-2025,Brochure,57.29
ORDER06072,CUST0036,01-17-2025,Photo Book,70.95
ORDER06883,CUST0422,01-16-2025,Business Card,19.71
ORDER05935,CUST0326,01-29-2025,Label,20.41
ORDER02507,CUST0223,01-06-2025,Greeting Card,12.83
ORDER04426,CUST0316,01-26-2025,Bookmark,9.92
ORDER07922,CUST0239,01-14-2025,Label,27.74
ORDER04398,CUST0166,01-28-2025,Poster,69.0
ORDER01420,CUST0143,01-29-2025,Mug,18.83
ORDER07614,CUST0292,01-20-2025,Photo Book,75.48
ORDER00471,CUST0254,01-28-2025,Brochure,32.73
ORDER03476,CUST0182,01-26-2025,Banner,94.45
ORDER09768,CUST0360,01-29-2025,Banner,128.93
ORDER08465,CUST0486,01-07-2025,Business Card,14.52
