OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00603,CUST0405,06-12-2025,Greeting Card,18.43
ORDER08797,CUST0305,06-21-2025,Bookmark,4.93
ORDER04068,CUST0337,06-22-2025,Brochure,31.64
ORDER00726,CUST0289,06-21-2025,Photo Book,107.61
ORDER05433,CUST0495,06-26-2025,Sticker,7.65
ORDER01616,CUST0133,06-08-2025,T-Shirt,53.1
ORDER09143,CUST0298,06-23-2025,Notebook,17.74
ORDER06130,CUST0201,06-15-2025,Postcard,13.83
ORDER08200,CUST0078,06-12-2025,Canvas Print,70.86
ORDER04841,CUST0213,06-30-2025,Business Card,11.13
ORDER02322,CUST0179,06-10-2025,Brochure,51.87
ORDER03390,CUST0267,06-16-2025,Brochure,53.33
ORDER07179,CUST0370,06-23-2025,Mug,20.93
ORDER04920,CUST0023,06-26-2025,Greeting Card,6.73
ORDER05621,CUST0332,06-04-2025,Photo Book,126.01
ORDER03997,CUST0265,06-06-2025,T-Shirt,25.53
ORDER09173,CUST0219,06-15-2025,Poster,66.85
ORDER03023,CUST0096,06-21-2025,Photo Book,81.86
ORDER00479,CUST0378,06-20-2025,Bookmark,6.17
ORDER09703,CUST0220,06-13-2025,Canvas Print,91.95
ORDER03372,CUST0143,06-25-2025,Greeting Card,17.13
ORDER01026,CUST0296,06-04-2025,Postcard,16.34
ORDER03064,CUST0188,06-11-2025,Poster,44.74
ORDER04299,CUST0344,06-28-2025,Mug,26.78
ORDER05135,CUST0306,06-13-2025,Notebook,23.74
ORDER01872,CUST0179,06-12-2025,Label,20.36
ORDER02827,CUST0417,06-22-2025,Greeting Card,17.01
ORDER01389,CUST0345,06-05-2025,Brochure,28.25
ORDER05004,CUST0060,06-06-2025,Brochure,68.54
ORDER08370,CUST0199,06-14-2025,Notebook,14.83
ORDER06287,CUST0217,06-06-2025,Mug,29.79
ORDER02839,CUST0285,06-06-2025,Mug,20.09
ORDER03066,CUST0162,06-27-2025,Mug,29.34
ORDER05883,CUST0488,06-01-2025,Mug,15.82
ORDER06291,CUST0494,06-18-2025,T-Shirt,48.69
ORDER06704,CUST0351,06-16-2025,Sticker,22.75
ORDER07273,CUST0251,06-06-2025,Business Card,23.27
ORDER03614,CUST0150,06-02-2025,Banner,75.97
ORDER04730,CUST0087,06-25-2025,Mug,27.84
ORDER08116,CUST0282,06-17-2025,Business Card,23.46
