OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER05737,CUST0433,03-18-2025,Brochure,28.04
ORDER04565,CUST0294,03-08-2025,Postcard,10.58
ORDER09191,CUST0499,03-25-2025,Label,24.79
ORDER09122,CUST0014,03-20-2025,Bookmark,11.24
ORDER04382,CUST0015,03-06-2025,Banner,152.43
ORDER05063,CUST0472,03-11-2025,Brochure,20.43
ORDER02348,CUST0290,03-22-2025,Sticker,6.74
ORDER00503,CUST0047,03-24-2025,T-Shirt,28.11
ORDER06879,CUST0233,03-11-2025,Flyer,24.8
ORDER05315,CUST0398,03-31-2025,Notebook,30.87
ORDER00862,CUST0080,03-06-2025,Postcard,13.03
ORDER01337,CUST0140,03-15-2025,Photo Book,80.88
ORDER09947,CUST0227,03-14-2025,Banner,74.49
ORDER08395,CUST0059,03-12-2025,Sticker,7.77
ORDER09718,CUST0250,03-17-2025,Photo Book,67.01
ORDER03613,CUST0203,03-20-2025,Canvas Print,25.73
ORDER04939,CUST0485,03-07-2025,Postcard,6.78
ORDER04187,CUST0149,03-11-2025,Business Card,8.21
ORDER07056,CUST0090,03-05-2025,Sticker,18.31
ORDER03771,CUST0257,03-18-2025,Label,26.04
ORDER05803,CUST0037,03-13-2025,Label,28.04
ORDER07148,CUST0010,03-15-2025,Bookmark,4.86
ORDER05130,CUST0295,03-14-2025,Notebook,24.15
ORDER06844,CUST0149,03-04-2025,Sticker,5.52
ORDER05322,CUST0088,03-26-2025,Notebook,26.1
ORDER05929,CUST0046,03-14-2025,Label,10.86
ORDER07139,CUST0302,03-13-2025,T-Shirt,21.7
ORDER05084,CUST0382,03-11-2025,Poster,36.65
ORDER02755,CUST0040,03-17-2025,Photo Book,43.68
ORDER08356,CUST0100,03-29-2025,Postcard,9.54
ORDER02420,CUST0121,03-04-2025,Flyer,20.24
ORDER02843,CUST0309,03-05-2025,Postcard,14.87
ORDER01235,CUST0091,03-31-2025,Postcard,13.16
ORDER07602,CUST0387,03-19-2025,Postcard,12.53
ORDER09249,CUST0330,03-21-2025,Notebook,21.31
ORDER05180,CUST0078,03-15-2025,Business Card,20.66
ORDER04962,CUST0408,03-09-2025,Notebook,11.97
ORDER08313,CUST0038,03-10-2025,Mug,24.65
ORDER00933,CUST0189,03-27-2025,Banner,52.28
ORDER09734,CUST0260,03-13-2025,Mug,28.25
ORDER00673,CUST0231,03-30-2025,Postcard,12.43
ORDER03085,CUST0165,03-20-2025,Mug,26.04
ORDER01014,CUST0231,03-04-2025,Postcard,16.69
ORDER05627,CUST0366,03-03-2025,T-Shirt,48.37
ORDER00642,CUST0127,03-23-2025,Mug,39.75
ORDER08587,CUST0268,03-20-2025,Flyer,24.56
ORDER04635,CUST0199,03-14-2025,Postcard,9.4
ORDER09796,CUST0027,03-26-2025,Photo Book,107.68
ORDER01080,CUST0169,03-04-2025,T-Shirt,49.88
ORDER04656,CUST0130,03-24-2025,Label,25.73
ORDER09875,CUST0448,03-05-2025,Brochure,25.71
ORDER02318,CUST0470,03-12-2025,Banner,194.83
ORDER06422,CUST0067,03-20-2025,Greeting Card,19.07
ORDER05073,CUST0287,03-13-2025,Photo Book,125.0
ORDER02094,CUST0344,03-23-2025,Label,33.57
ORDER08625,CUST0048,03-21-2025,Photo Book,80.81
ORDER00299,CUST0186,03-10-2025,Flyer,48.05
ORDER05599,CUST0486,03-25-2025,Mug,17.38
ORDER02254,CUST0080,03-03-2025,Banner,175.11
ORDER01658,CUST0260,03-25-2025,T-Shirt,57.25
ORDER08627,CUST0020,03-22-2025,Brochure,81.35
ORDER02148,CUST0306,03-13-2025,Flyer,16.49
ORDER02713,CUST0370,03-15-2025,Canvas Print,64.03
ORDER03892,CUST0497,03-15-2025,Notebook,19.97
ORDER07356,CUST0120,03-18-2025,Poster,35.12
ORDER07685,CUST0463,03-27-2025,Poster,38.91
ORDER09346,CUST0226,03-15-2025,Postcard,8.66
ORDER06257,CUST0258,03-17-2025,Sticker,29.16
ORDER03272,CUST0411,03-20-2025,Flyer,44.92
ORDER00855,CUST0329,03-16-2025,Label,18.02
ORDER01681,CUST0365,03-28-2025,T-Shirt,58.0
ORDER04671,CUST0043,03-25-2025,Flyer,20.91
ORDER08411,CUST0076,03-27-2025,Sticker,7.29
ORDER03638,CUST0419,03-15-2025,Bookmark,7.85
ORDER00437,CUST0213,03-02-2025,Sticker,17.55
ORDER03863,CUST0198,03-03-2025,Brochure,35.72
ORDER05222,CUST0477,03-04-2025,Label,27.3
ORDER05494,CUST0406,03-05-2025,Flyer,11.53
ORDER07741,CUST0357,03-27-2025,Flyer,40.35
ORDER07686,CUST0230,03-20-2025,Canvas Print,111.06
ORDER00312,CUST0132,03-07-2025,Label,12.04
ORDER09976,CUST0271,03-14-2025,Business Card,28.96
ORDER03894,CUST0155,03-04-2025,Canvas Print,47.65
ORDER07490,CUST0033,03-04-2025,Label,32.44
ORDER09777,CUST0275,03-01-2025,Photo Book,91.85
ORDER03964,CUST0368,03-05-2025,Banner,108.68
ORDER05781,CUST0124,03-19-2025,Sticker,9.68
ORDER01403,CUST0269,03-12-2025,Business Card,33.74
ORDER08915,CUST0260,03-26-2025,T-Shirt,44.05
ORDER06398,CUST0448,03-16-2025,Canvas Print,85.39
ORDER06117,CUST0130,03-24-2025,Canvas Print,58.92
ORDER01107,CUST0177,03-08-2025,Greeting Card,14.86
ORDER01699,CUST0396,03-19-2025,Greeting Card,16.35
ORDER02186,CUST0023,03-12-2025,T-Shirt,33.91
ORDER07613,CUST0357,03-16-2025,Photo Book,51.87
ORDER02210,CUST0033,03-23-2025,Postcard,17.27
ORDER00606,CUST0151,03-07-2025,Canvas Print,100.16
ORDER00687,CUST0162,03-30-2025,Banner,122.46
ORDER08898,CUST0243,03-09-2025,Canvas Print,96.56
ORDER03132,CUST0147,03-12-2025,Label,29.08
ORDER05439,CUST0140,03-04-2025,Postcard,9.78
ORDER06554,CUST0381,03-15-2025,Bookmark,14.52
ORDER05555,CUST0499,03-06-2025,Mug,31.38
ORDER06019,CUST0474,03-26-2025,T-Shirt,30.54
ORDER01354,CUST0373,03-14-2025,Business Card,19.63
ORDER02957,CUST0280,03-10-2025,Brochure,27.18
ORDER05373,CUST0339,03-10-2025,Banner,111.35
ORDER06982,CUST0086,03-23-2025,Mug,21.84
ORDER00694,CUST0373,03-28-2025,Bookmark,7.88
ORDER07127,CUST0141,03-21-2025,Postcard,17.32
ORDER01230,CUST0344,03-21-2025,Sticker,14.08
