OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER08028,CUST0202,11-24-2025,Flyer,10.73
ORDER05766,CUST0182,11-21-2025,Banner,77.79
ORDER08213,CUST0142,11-26-2025,Canvas Print,84.45
ORDER06344,CUST0456,11-27-2025,Canvas Print,114.69
ORDER04591,CUST0116,11-05-2025,Brochure,82.8
ORDER02249,CUST0045,11-24-2025,Sticker,18.02
ORDER03727,CUST0214,11-08-2025,Notebook,15.35
ORDER05119,CUST0466,11-20-2025,Brochure,51.44
ORDER02159,CUST0106,11-21-2025,Flyer,33.24
ORDER03315,CUST0442,11-05-2025,Banner,150.17
ORDER08583,CUST0466,11-05-2025,Sticker,29.89
ORDER02379,CUST0336,11-30-2025,Notebook,42.1
ORDER05202,CUST0035,11-18-2025,T-Shirt,62.58
ORDER01940,CUST0095,11-11-2025,Label,31.75
ORDER06784,CUST0493,11-14-2025,Banner,110.88
ORDER04486,CUST0078,11-25-2025,Poster,21.94
ORDER03027,CUST0014,11-25-2025,Notebook,31.59
ORDER09923,CUST0291,11-20-2025,Poster,53.76
ORDER03784,CUST0352,11-01-2025,Brochure,25.56
ORDER07809,CUST0069,11-17-2025,Label,24.33
ORDER06127,CUST0095,11-28-2025,Sticker,17.29
ORDER02684,CUST0099,11-08-2025,Canvas Print,63.82
ORDER00246,CUST0474,11-09-2025,Sticker,10.56
ORDER03324,CUST0388,11-07-2025,Business Card,12.78
ORDER07198,CUST0444,11-20-2025,Mug,31.26
ORDER07497,CUST0455,11-08-2025,Sticker,15.12
ORDER00686,CUST0312,11-24-2025,Label,18.27
ORDER05127,CUST0202,11-20-2025,Greeting Card,13.58
ORDER08785,CUST0269,11-21-2025,Bookmark,11.75
ORDER00631,CUST0267,11-04-2025,Mug,24.79
ORDER00695,CUST0450,11-08-2025,T-Shirt,43.28
ORDER00644,CUST0286,11-13-2025,T-Shirt,53.96
ORDER00808,CUST0098,11-10-2025,Mug,23.15
ORDER04990,CUST0397,11-27-2025,Banner,113.82
ORDER06922,CUST0151,11-20-2025,Bookmark,4.6
ORDER08471,CUST0463,11-05-2025,Mug,35.24
ORDER07401,CUST0047,11-24-2025,T-Shirt,23.32
ORDER09592,CUST0481,11-29-2025,Greeting Card,13.2
ORDER06441,CUST0212,11-11-2025,Mug,12.7
ORDER07434,CUST0303,11-29-2025,Greeting Card,18.44
ORDER07450,CUST0047,11-09-2025,Brochure,68.42
ORDER02687,CUST0368,11-24-2025,Business Card,10.46
ORDER07363,CUST0325,11-12-2025,Business Card,22.14
ORDER06293,CUST0373,11-26-2025,T-Shirt,46.77
ORDER02620,CUST0194,11-18-2025,Sticker,6.1
ORDER02800,CUST0468,11-11-2025,Notebook,40.5
ORDER02460,CUST0084,11-28-2025,Flyer,17.15
ORDER00841,CUST0215,11-10-2025,Banner,156.83
ORDER04732,CUST0321,11-06-2025,Business Card,32.26
ORDER00058,CUST0319,11-25-2025,Banner,41.95
ORDER08154,CUST0438,11-16-2025,T-Shirt,55.95
ORDER09962,CUST0452,11-16-2025,Poster,29.1
ORDER07795,CUST0233,11-14-2025,Mug,14.22
ORDER09833,CUST0004,11-08-2025,Bookmark,10.02
ORDER09135,CUST0420,11-27-2025,Poster,18.18
ORDER02430,CUST0029,11-21-2025,Brochure,22.57
ORDER00532,CUST0342,11-19-2025,Label,24.29
ORDER05425,CUST0472,11-03-2025,Canvas Print,35.34
ORDER02921,CUST0083,11-22-2025,Banner,137.77
ORDER09748,CUST0294,11-26-2025,T-Shirt,26.34
ORDER07461,CUST0384,11-19-2025,Brochure,85.2
ORDER04904,CUST0166,11-12-2025,Bookmark,8.17
ORDER01109,CUST0389,11-14-2025,Label,22.86
