OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00511,CUST0074,04-28-2025,Notebook,33.73
ORDER00571,CUST0065,04-03-2025,Poster,65.6
ORDER06002,CUST0186,04-13-2025,Notebook,11.13
ORDER02514,CUST0348,04-15-2025,Brochure,46.04
ORDER01260,CUST0294,04-05-2025,T-Shirt,35.25
ORDER05151,CUST0333,04-09-2025,Poster,77.43
ORDER00425,CUST0377,04-06-2025,Mug,26.5
ORDER09203,CUST0061,04-09-2025,Postcard,8.38
ORDER07312,CUST0110,04-20-2025,Banner,151.04
ORDER08048,CUST0103,04-04-2025,Flyer,44.11
ORDER07407,CUST0089,04-29-2025,Greeting Card,11.68
ORDER01439,CUST0415,04-22-2025,Label,34.64
ORDER05693,CUST0364,04-03-2025,T-Shirt,43.48
ORDER04915,CUST0436,04-06-2025,Greeting Card,15.64
ORDER02853,CUST0407,04-12-2025,T-Shirt,28.54
ORDER03293,CUST0406,04-05-2025,Poster,66.37
ORDER00431,CUST0185,04-18-2025,Notebook,22.91
ORDER09039,CUST0067,04-20-2025,Bookmark,4.95
ORDER05068,CUST0204,04-23-2025,Greeting Card,12.18
ORDER06709,CUST0422,04-19-2025,Business Card,11.38
ORDER05195,CUST0329,04-03-2025,Mug,25.04
ORDER08477,CUST0177,04-05-2025,Bookmark,13.12
ORDER09033,CUST0328,04-19-2025,Flyer,40.71
ORDER02115,CUST0222,04-17-2025,Bookmark,13.55
ORDER02035,CUST0266,04-05-2025,Banner,66.35
ORDER05287,CUST0479,04-23-2025,Poster,37.49
ORDER08502,CUST0459,04-10-2025,Label,10.13
ORDER03217,CUST0326,04-18-2025,Banner,60.03
ORDER08741,CUST0048,04-17-2025,Photo Book,50.24
ORDER09514,CUST0079,04-06-2025,Photo Book,104.94
ORDER09915,CUST0173,04-27-2025,Bookmark,10.2
ORDER00465,CUST0042,04-02-2025,Photo Book,122.52
ORDER04337,CUST0334,04-07-2025,Postcard,12.44
ORDER00497,CUST0255,04-29-2025,Photo Book,95.47
ORDER04950,CUST0248,04-08-2025,Postcard,15.5
ORDER06654,CUST0153,04-15-2025,Business Card,26.59
ORDER02590,CUST0226,04-14-2025,Mug,25.0
ORDER05574,CUST0311,04-05-2025,Brochure,80.3
ORDER05232,CUST0376,04-28-2025,Brochure,88.28
ORDER02143,CUST0390,04-12-2025,T-Shirt,44.4
ORDER05229,CUST0124,04-15-2025,Business Card,15.22
ORDER02309,CUST0050,04-02-2025,Banner,191.26
ORDER06851,CUST0128,04-28-2025,Bookmark,5.76
ORDER05365,CUST0479,04-19-2025,Greeting Card,9.69
ORDER02611,CUST0256,04-17-2025,Mug,25.97
ORDER05056,CUST0255,04-01-2025,Business Card,33.52
ORDER08282,CUST0235,04-08-2025,Poster,52.92
ORDER00798,CUST0026,04-10-2025,Mug,28.73
ORDER07711,CUST0147,04-18-2025,Canvas Print,105.48
ORDER07061,CUST0069,04-29-2025,Banner,156.4
