OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER03595,CUST0295,07-28-2025,Postcard,10.05
ORDER02847,CUST0091,07-08-2025,Notebook,21.13
ORDER05879,CUST0468,07-19-2025,Canvas Print,91.83
ORDER05762,CUST0486,07-19-2025,Notebook,14.97
ORDER08065,CUST0278,07-10-2025,Flyer,29.62
ORDER01479,CUST0029,07-08-2025,Notebook,17.66
ORDER07832,CUST0001,07-11-2025,Bookmark,10.76
ORDER02138,CUST0175,07-23-2025,Flyer,46.75
ORDER05302,CUST0031,07-01-2025,Flyer,33.46
ORDER02321,CUST0397,07-04-2025,Label,22.21
ORDER05979,CUST0492,07-03-2025,Brochure,69.32
ORDER06482,CUST0301,07-04-2025,Brochure,41.12
ORDER02236,CUST0500,07-06-2025,Greeting Card,19.23
ORDER07983,CUST0333,07-11-2025,Flyer,38.29
ORDER09208,CUST0356,07-29-2025,Bookmark,10.75
ORDER05847,CUST0115,07-22-2025,Notebook,38.51
ORDER06200,CUST0158,07-24-2025,Greeting Card,9.42
ORDER02912,CUST0374,07-01-2025,Greeting Card,19.23
ORDER06416,CUST0436,07-25-2025,Notebook,11.13
ORDER09870,CUST0163,07-30-2025,Postcard,17.58
ORDER03620,CUST0328,07-19-2025,Business Card,33.29
ORDER02305,CUST0170,07-24-2025,Business Card,14.43
ORDER05235,CUST0086,07-21-2025,Bookmark,14.59
ORDER05501,CUST0229,07-01-2025,Banner,73.55
ORDER01111,CUST0180,07-09-2025,Postcard,6.4
ORDER00021,CUST0025,07-13-2025,Mug,32.51
ORDER02726,CUST0453,07-14-2025,Mug,36.69
ORDER05755,CUST0280,07-13-2025,Business Card,30.38
ORDER09471,CUST0334,07-25-2025,Photo Book,57.07
ORDER07394,CUST0038,07-26-2025,Label,8.9
ORDER00329,CUST0164,07-09-2025,Business Card,10.0
ORDER02788,CUST0455,07-13-2025,Flyer,39.28
ORDER08963,CUST0483,07-29-2025,Business Card,17.12
ORDER07910,CUST0361,07-01-2025,Sticker,28.56
ORDER02704,CUST0311,07-29-2025,Sticker,8.93
ORDER01660,CUST0170,07-07-2025,Poster,41.6
ORDER09079,CUST0370,07-30-2025,Greeting Card,13.1
ORDER04613,CUST0153,07-08-2025,Business Card,9.34
ORDER09368,CUST0282,07-27-2025,Mug,16.3
ORDER05912,CUST0002,07-14-2025,Business Card,15.95
ORDER09834,CUST0246,07-07-2025,Business Card,8.69
ORDER02799,CUST0327,07-10-2025,Business Card,20.79
ORDER01893,CUST0158,07-26-2025,Sticker,16.77
ORDER04342,CUST0047,07-21-2025,T-Shirt,36.21
ORDER06079,CUST0454,07-13-2025,Brochure,33.06
ORDER00732,CUST0135,07-15-2025,Mug,19.38
ORDER04401,CUST0289,07-02-2025,Flyer,40.09
ORDER01585,CUST0044,07-22-2025,Brochure,76.57
ORDER06783,CUST0498,07-25-2025,Notebook,17.96
ORDER01000,CUST0431,07-13-2025,Label,22.11
ORDER08774,CUST0352,07-28-2025,Bookmark,9.22
ORDER03861,CUST0244,07-10-2025,Business Card,18.66
ORDER00569,CUST0258,07-19-2025,Bookmark,9.68
ORDER09364,CUST0347,07-20-2025,Flyer,14.81
ORDER02833,CUST0486,07-06-2025,Poster,67.55
