OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER05376,CUST0438,05-17-2025,Mug,15.25
ORDER03366,CUST0368,05-19-2025,Mug,14.55
ORDER08362,CUST0229,05-26-2025,Canvas Print,68.08
ORDER08410,CUST0213,05-15-2025,Notebook,12.02
ORDER07576,CUST0345,05-26-2025,Banner,155.72
ORDER06488,CUST0131,05-27-2025,Canvas Print,95.85
ORDER09476,CUST0038,05-02-2025,Sticker,13.61
ORDER01045,CUST0278,05-02-2025,Bookmark,13.84
ORDER07735,CUST0017,05-10-2025,Sticker,9.5
ORDER02219,CUST0393,05-21-2025,Greeting Card,14.69
ORDER06888,CUST0192,05-29-2025,Sticker,16.21
ORDER06185,CUST0193,05-03-2025,Photo Book,145.7
ORDER08836,CUST0069,05-21-2025,Label,17.39
ORDER02925,CUST0276,05-13-2025,T-Shirt,23.99
ORDER03649,CUST0428,05-01-2025,Postcard,5.3
ORDER04889,CUST0238,05-22-2025,Greeting Card,13.17
ORDER08716,CUST0195,05-27-2025,Poster,31.09
ORDER05672,CUST0080,05-09-2025,Poster,75.93
ORDER01849,CUST0017,05-26-2025,Photo Book,80.31
ORDER00257,CUST0124,05-07-2025,Business Card,10.72
ORDER00551,CUST0229,05-20-2025,Photo Book,114.39
ORDER04010,CUST0380,05-02-2025,Sticker,15.97
ORDER08844,CUST0112,05-25-2025,Label,28.95
ORDER02296,CUST0258,05-10-2025,Poster,68.03
ORDER09439,CUST0164,05-19-2025,Notebook,37.04
ORDER05254,CUST0122,05-10-2025,Bookmark,5.58
ORDER03622,CUST0212,05-10-2025,Banner,49.75
ORDER09694,CUST0451,05-24-2025,Bookmark,5.93
ORDER07000,CUST0285,05-16-2025,Canvas Print,117.37
ORDER06245,CUST0403,05-17-2025,Brochure,68.74
ORDER06689,CUST0077,05-10-2025,Sticker,9.6
ORDER08814,CUST0243,05-08-2025,Label,14.08
ORDER02366,CUST0413,05-15-2025,Bookmark,4.63
ORDER06762,CUST0496,05-14-2025,T-Shirt,42.91
ORDER06364,CUST0125,05-09-2025,Poster,36.47
ORDER01296,CUST0473,05-15-2025,Label,18.02
ORDER08776,CUST0371,05-27-2025,Poster,18.35
ORDER06180,CUST0345,05-20-2025,Notebook,11.38
ORDER01193,CUST0097,05-26-2025,Postcard,12.64
ORDER09157,CUST0112,05-16-2025,Poster,71.52
ORDER05456,CUST0156,05-31-2025,Bookmark,4.17
ORDER03114,CUST0493,05-24-2025,Business Card,28.17
ORDER07847,CUST0469,05-08-2025,Greeting Card,14.07
ORDER03351,CUST0204,05-30-2025,Poster,50.89
ORDER04638,CUST0195,05-15-2025,T-Shirt,48.49
ORDER05054,CUST0134,05-12-2025,T-Shirt,59.49
ORDER07636,CUST0051,05-26-2025,Greeting Card,12.04
ORDER05247,CUST0469,05-07-2025,Brochure,41.9
ORDER00750,CUST0289,05-28-2025,Poster,63.18
ORDER00266,CUST0134,05-18-2025,Bookmark,10.42
ORDER06842,CUST0152,05-05-2025,Poster,36.44
ORDER06224,CUST0292,05-27-2025,Poster,47.45
ORDER05531,CUST0132,05-25-2025,Label,21.19
ORDER08038,CUST0236,05-06-2025,Greeting Card,16.92
ORDER02774,CUST0072,05-24-2025,T-Shirt,40.95
ORDER08883,CUST0329,05-31-2025,Canvas Print,74.77
ORDER01218,CUST0484,05-27-2025,Photo Book,35.82
ORDER00105,CUST0212,05-05-2025,Label,25.03
ORDER01114,CUST0363,05-05-2025,Canvas Print,45.78
ORDER07472,CUST0192,05-02-2025,Notebook,32.32
ORDER07917,CUST0338,05-16-2025,Canvas Print,25.63
ORDER06740,CUST0007,05-01-2025,T-Shirt,51.94
ORDER08778,CUST0147,05-01-2025,T-Shirt,56.22
ORDER07055,CUST0413,05-31-2025,Bookmark,5.97
ORDER01579,CUST0269,05-05-2025,Poster,27.48
ORDER08626,CUST0130,05-27-2025,Brochure,38.71
ORDER06503,CUST0041,05-12-2025,Sticker,16.47
ORDER03985,CUST0357,05-08-2025,Banner,149.45
ORDER01321,CUST0335,05-28-2025,Photo Book,121.15
ORDER01532,CUST0208,05-13-2025,Sticker,18.82
ORDER00920,CUST0327,05-01-2025,Greeting Card,7.57
ORDER08190,CUST0433,05-14-2025,Photo Book,124.13
ORDER09271,CUST0440,05-04-2025,Bookmark,9.81
ORDER00698,CUST0118,05-07-2025,Bookmark,13.55
ORDER09287,CUST0244,05-09-2025,Canvas Print,112.8
ORDER04594,CUST0461,05-18-2025,Notebook,33.03
ORDER02939,CUST0476,05-28-2025,Brochure,21.1
ORDER03395,CUST0301,05-05-2025,Postcard,15.67
ORDER06526,CUST0476,05-03-2025,Banner,65.99
ORDER03940,CUST0291,05-27-2025,Label,18.51
ORDER08857,CUST0170,05-13-2025,Postcard,14.62
ORDER01285,CUST0257,05-24-2025,Brochure,23.76
ORDER07162,CUST0119,05-27-2025,Business Card,17.2
ORDER09759,CUST0204,05-25-2025,Brochure,22.07
ORDER04479,CUST0402,05-15-2025,Mug,18.39
ORDER09061,CUST0482,05-13-2025,Sticker,9.64
ORDER09599,CUST0339,05-13-2025,Business Card,28.85
ORDER04840,CUST0409,05-08-2025,Greeting Card,6.1
ORDER04391,CUST0079,05-13-2025,Greeting Card,16.76
ORDER02528,CUST0379,05-13-2025,Brochure,45.25
ORDER01500,CUST0003,05-31-2025,Banner,111.16
ORDER04420,CUST0053,05-05-2025,Business Card,13.06
ORDER07354,CUST0286,05-18-2025,T-Shirt,37.18
ORDER01469,CUST0182,05-18-2025,Business Card,24.12
ORDER05316,CUST0443,05-13-2025,Canvas Print,52.73
ORDER06354,CUST0399,05-03-2025,Greeting Card,18.52
ORDER03978,CUST0293,05-17-2025,Flyer,37.41
ORDER02778,CUST0072,05-09-2025,Banner,82.95
ORDER02391,CUST0033,05-06-2025,Sticker,11.9
ORDER04912,CUST0248,05-26-2025,Business Card,17.75
ORDER04041,CUST0370,05-21-2025,Mug,28.63
ORDER03204,CUST0235,05-04-2025,Flyer,22.19
ORDER06484,CUST0171,05-27-2025,Notebook,23.3
ORDER05400,CUST0226,05-11-2025,Sticker,25.39
ORDER09739,CUST0070,05-10-2025,Brochure,62.22
ORDER03291,CUST0246,05-11-2025,Flyer,48.58
ORDER04776,CUST0377,05-23-2025,Photo Book,88.92
ORDER09436,CUST0401,05-08-2025,Brochure,46.32
ORDER06438,CUST0187,05-04-2025,Bookmark,10.2
ORDER09704,CUST0280,05-06-2025,Photo Book,122.11
ORDER00441,CUST0488,05-24-2025,Mug,38.4
ORDER03435,CUST0225,05-26-2025,Banner,173.01
ORDER01134,CUST0420,05-28-2025,Postcard,15.34
ORDER08181,CUST0072,05-21-2025,Banner,78.72
ORDER02526,CUST0367,05-14-2025,Postcard,9.9
ORDER07358,CUST0307,05-16-2025,Notebook,24.03
ORDER08301,CUST0473,05-30-2025,Label,26.68
