OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER03995,CUST0491,09-02-2025,Photo Book,136.28
ORDER01858,CUST0198,09-09-2025,T-Shirt,52.03
ORDER00405,CUST0467,09-17-2025,Label,28.8
ORDER08427,CUST0412,09-17-2025,Mug,25.63
ORDER04857,CUST0460,09-21-2025,Poster,35.82
ORDER01350,CUST0486,09-04-2025,Flyer,48.87
ORDER08815,CUST0274,09-01-2025,Photo Book,37.86
ORDER06951,CUST0428,09-04-2025,Poster,49.95
ORDER07131,CUST0332,09-27-2025,Business Card,28.17
ORDER02520,CUST0013,09-15-2025,Greeting Card,9.98
ORDER01434,CUST0038,09-02-2025,Flyer,41.77
ORDER09144,CUST0037,09-19-2025,Label,14.15
ORDER04238,CUST0209,09-13-2025,Mug,29.65
ORDER07095,CUST0162,09-01-2025,Sticker,21.83
ORDER08763,CUST0004,09-21-2025,Greeting Card,14.28
ORDER09595,CUST0024,09-23-2025,Label,9.96
ORDER08239,CUST0055,09-10-2025,Postcard,13.92
ORDER09938,CUST0045,09-10-2025,Postcard,17.05
ORDER06250,CUST0203,09-27-2025,Photo Book,33.7
ORDER02562,CUST0274,09-08-2025,Flyer,39.87
ORDER08942,CUST0152,09-21-2025,Flyer,21.92
ORDER06114,CUST0491,09-01-2025,T-Shirt,59.11
ORDER02317,CUST0064,09-02-2025,Canvas Print,79.41
ORDER06457,CUST0276,09-18-2025,Business Card,16.23
ORDER03470,CUST0212,09-29-2025,Photo Book,132.18
ORDER02334,CUST0083,09-06-2025,Poster,55.1
ORDER04141,CUST0100,09-04-2025,Flyer,36.84
ORDER09295,CUST0437,09-02-2025,Label,28.28
ORDER08993,CUST0237,09-21-2025,T-Shirt,21.44
ORDER01104,CUST0129,09-04-2025,Poster,62.16
ORDER05421,CUST0183,09-05-2025,Photo Book,108.66
ORDER01640,CUST0146,09-20-2025,Business Card,32.3
ORDER05207,CUST0249,09-15-2025,Brochure,63.14
ORDER05009,CUST0356,09-19-2025,Flyer,32.62
ORDER05972,CUST0414,09-11-2025,Sticker,9.22
ORDER05132,CUST0127,09-26-2025,Poster,61.29
ORDER07146,CUST0142,09-27-2025,Brochure,29.4
ORDER07864,CUST0237,09-15-2025,Brochure,74.23
ORDER07979,CUST0283,09-04-2025,Flyer,35.82
ORDER01344,CUST0431,09-09-2025,Label,30.31
ORDER04313,CUST0376,09-29-2025,Photo Book,39.18
ORDER00306,CUST0435,09-17-2025,Photo Book,33.74
ORDER09534,CUST0297,09-13-2025,Postcard,12.67
ORDER00601,CUST0283,09-09-2025,T-Shirt,60.02
ORDER08843,CUST0242,09-21-2025,Postcard,6.93
ORDER06431,CUST0115,09-29-2025,Postcard,12.66
ORDER04768,CUST0069,09-15-2025,T-Shirt,41.99
ORDER06501,CUST0187,09-17-2025,Canvas Print,87.95
ORDER02718,CUST0388,09-17-2025,Flyer,27.85
ORDER02936,CUST0290,09-19-2025,Photo Book,134.66
ORDER02396,CUST0377,09-24-2025,Mug,38.3
ORDER00663,CUST0113,09-25-2025,Mug,18.49
ORDER06053,CUST0120,09-02-2025,Photo Book,54.81
ORDER05919,CUST0199,09-16-2025,Bookmark,9.0
ORDER00761,CUST0021,09-21-2025,Brochure,27.23
